condition,episode_index,step,previous_hold_depth,target_correction_l2,target_vs_stale_target_l2
low_discrepancy_linear,0,195,1,0.28755090448391557,0.28755090448391557
low_discrepancy_linear,0,198,2,0.10041031063400889,0.10041031063400889
low_discrepancy_linear,0,200,1,0.0,0.0
low_discrepancy_linear,0,203,2,0.8040411776276668,0.8040411776276668
low_discrepancy_linear,0,205,1,0.06654344679038636,0.06654344679038636
low_discrepancy_linear,0,208,2,0.47128078104385845,0.47128078104385845
low_discrepancy_linear,0,210,1,0.040881537016774404,0.040881537016774404
low_discrepancy_linear,0,213,2,0.132296252608878,0.132296252608878
low_discrepancy_linear,0,215,1,0.4495775197135539,0.4495775197135539
low_discrepancy_linear,0,218,2,0.009058823480325606,0.009058823480325606
low_discrepancy_linear,1,3,2,0.20268149288059217,0.20268149288059217
low_discrepancy_linear,1,5,1,0.1522060059738009,0.1522060059738009
low_discrepancy_linear,1,8,2,0.07850988303077483,0.07850988303077483
low_discrepancy_linear,1,10,1,0.27185290270413903,0.27185290270413903
