record,position,top1_match,max_abs_logit_difference,mean_abs_logit_difference,serial_divergent_accepted_tokens_in_action,strict_accepted_prefix_length,causal_comparable_positions
78,0,1,0.125,0.0066356658935546875,0,0,1
79,0,1,0.25,0.006322741508483887,0,0,1
80,0,1,0.25,0.0071811676025390625,0,7,7
80,1,1,0.875,0.2087554931640625,0,7,7
80,2,1,0.734375,0.21159744262695312,0,7,7
80,3,1,0.5625,0.13899707794189453,0,7,7
80,4,1,0.8125,0.23726272583007812,0,7,7
80,5,1,0.75,0.19888925552368164,0,7,7
80,6,1,0.4375,0.14632415771484375,0,7,7
81,0,1,0.25,0.0076618194580078125,0,7,7
81,1,1,0.75,0.15705299377441406,0,7,7
81,2,1,0.5,0.15782690048217773,0,7,7
81,3,1,0.75,0.19776153564453125,0,7,7
81,4,1,0.625,0.15782546997070312,0,7,7
81,5,1,0.62890625,0.17227745056152344,0,7,7
81,6,1,0.375,0.09537482261657715,0,7,7
82,0,1,0.125,0.008159637451171875,0,7,7
82,1,1,0.640625,0.18849873542785645,0,7,7
82,2,1,0.625,0.18341755867004395,0,7,7
82,3,1,0.625,0.14156341552734375,0,7,7
82,4,1,0.75,0.18503189086914062,0,7,7
82,5,1,0.5,0.15592336654663086,0,7,7
82,6,1,0.4375,0.1253061294555664,0,7,7
83,0,1,0.125,0.005154609680175781,0,7,7
83,1,1,0.625,0.18426847457885742,0,7,7
83,2,1,0.875,0.19585740566253662,0,7,7
83,3,1,0.625,0.15236282348632812,0,7,7
83,4,1,0.75,0.2043461799621582,0,7,7
83,5,1,0.8125,0.17399120330810547,0,7,7
83,6,1,0.4736328125,0.11899447441101074,0,7,7
84,0,1,0.125,0.0054168701171875,0,0,1
85,0,1,0.125,0.0060367584228515625,0,1,2
85,1,1,0.75,0.17025724053382874,0,1,2
86,0,1,0.125,0.0069713592529296875,0,0,1
87,0,1,0.125,0.0053501129150390625,0,0,1
88,0,1,0.25,0.007427215576171875,0,0,1
89,0,1,0.125,0.00658416748046875,0,0,1
90,0,1,0.125,0.008222579956054688,0,0,1
91,0,1,0.125,0.005619049072265625,0,2,3
91,1,1,0.625,0.154815673828125,0,2,3
91,2,1,0.875,0.2032785415649414,0,2,3
92,0,1,0.25,0.007170677185058594,0,0,1
93,0,1,0.125,0.007780551910400391,0,0,1
94,0,1,0.125,0.00582122802734375,0,0,1
95,0,1,0.125,0.004490375518798828,0,7,7
95,1,1,0.625,0.16000843048095703,0,7,7
95,2,1,0.625,0.15659332275390625,0,7,7
95,3,1,0.625,0.1873307228088379,0,7,7
95,4,1,0.8125,0.19580793380737305,0,7,7
95,5,1,0.875,0.20988178253173828,0,7,7
95,6,1,0.359375,0.08814501762390137,0,7,7
96,0,1,0.125,0.007602691650390625,0,7,7
96,1,1,0.5,0.12862920761108398,0,7,7
96,2,1,0.6875,0.16829872131347656,0,7,7
96,3,1,0.75,0.14646148681640625,0,7,7
96,4,1,0.75,0.19168663024902344,0,7,7
96,5,1,0.71875,0.196197509765625,0,7,7
96,6,1,0.3671875,0.0980691909790039,0,7,7
97,0,1,0.125,0.0058441162109375,0,7,7
97,1,1,0.48046875,0.1414034366607666,0,7,7
97,2,1,0.625,0.19562381505966187,0,7,7
97,3,1,0.8125,0.1865062713623047,0,7,7
97,4,1,0.75,0.20217514038085938,0,7,7
97,5,1,0.9375,0.19582653045654297,0,7,7
97,6,1,0.3125,0.08732986450195312,0,7,7
98,0,1,0.125,0.00669020414352417,4,7,2
98,1,0,0.625,0.14217758178710938,4,7,2
99,0,1,0.125,0.0059528350830078125,0,1,2
99,1,1,0.517578125,0.15207290649414062,0,1,2
100,0,1,0.125,0.0056514739990234375,0,3,5
100,1,1,0.5,0.15033698081970215,0,3,5
