task_id,episode_index,control_step,episode_success,phase,target_lag1_exact,target_lag1_prefix,previous_dflash_exact,previous_dflash_prefix,continuous_l2,action_norm,pixel_relative_l2,prompt_cosine,gripper_switch,distant_continuous_l2
0,0,23,False,early,0,0,,,0.03608941752129087,0.6314601854667821,0.06178750010760219,,0,0.666034451527424
0,0,24,False,early,0,0,,,0.03522397942179005,0.6198570445491909,0.09900412978795152,,0,0.6020726153307269
0,0,25,False,early,0,0,,,0.3584885147055271,0.41858421693370823,0.05834741502485939,,0,0.614247800552633
0,0,26,False,early,0,0,,,0.3230468043466867,0.605384217955953,0.10075996016887287,,0,0.7952178515347467
0,0,27,False,early,0,0,,,0.030284145567756104,0.5969771068483357,0.0710988663678561,,0,0.7885871373147724
0,0,28,False,early,0,0,,,0.041355235165939024,0.5714363980385304,0.044426175454632504,,0,0.7499612763669161
0,0,29,False,early,0,0,,,0.33570307576710556,0.4655816513598359,0.028532909569335657,,0,0.5615250067416107
0,0,30,False,early,0,0,,,0.22356597371668493,0.5347408735770197,0.09198696743968857,,0,0.6439409433049301
0,0,31,False,early,0,0,,,0.22155405330433572,0.4341966116006022,0.08448668338353109,,0,0.6538692650207045
0,0,32,False,early,0,0,,,0.10649929791061617,0.5160265986507593,0.10933540356056867,,0,0.6425429559289565
0,0,33,False,early,0,0,,,0.1368539550659709,0.455613797190652,0.06291247228900397,,0,0.6544263526413134
0,0,34,False,early,0,0,,,0.15917288836783497,0.4170647208073426,0.13125608368089883,,0,0.5765480167919982
0,0,35,False,early,0,0,,,0.0966140941208304,0.4539528377095621,0.07381470298431576,,0,0.5835960869619032
0,0,36,False,early,0,0,,,0.04576412328145988,0.47870177213431586,0.11178473374627483,,0,0.6729016835999769
0,0,37,False,early,0,0,,,0.01733067930062146,0.4710030977596173,0.09041349780767573,,0,0.6238973430464427
0,0,38,False,early,0,0,,,0.03375445207268672,0.4528422352970403,0.09677342773637672,,0,0.6596909482892883
0,0,39,False,early,0,0,,,0.038074779871257264,0.43367249785846196,0.12065176068646488,,0,0.5791137977532244
0,0,40,False,early,0,0,,,0.02134335327925157,0.4242714044407711,0.044459981090616656,,0,0.5733610433852051
0,0,41,False,early,1,7,,,0.0,0.4242714044407711,0.11443521979414306,,0,0.5733610433852051
0,0,42,False,early,0,0,,,0.11326480080650955,0.37672766382461714,0.14241281929571842,,0,0.6079145000195042
0,0,43,False,early,0,1,,,0.04704047276275026,0.3848504629683777,0.09528955635596047,,0,0.6058465097401319
0,0,44,False,early,0,0,,,0.20661620639422437,0.3485086838485059,0.08408272111360994,,0,0.5615503544535497
0,0,45,False,early,0,0,,,0.12307608830497498,0.33899786170604007,0.11635721462730161,,0,0.5561484903904034
0,0,46,False,early,1,7,,,0.0,0.33899786170604007,0.08022881085108445,,0,0.5335460295846967
0,0,47,False,early,0,0,,,0.1009560182141037,0.3736080889534416,0.10350044333829202,,0,0.5738428985345811
0,0,48,False,early,0,0,,,0.16634932887308895,0.3807186672866534,0.1629268799066606,,0,0.4237470167592755
0,0,49,False,early,0,4,,,0.029131475534968802,0.3683267203854416,0.06754109912571556,,0,0.4677118918563456
0,0,50,False,early,0,3,,,0.07872776243411143,0.34854573669339356,0.11711094233416716,,0,0.4214978667756908
0,0,51,False,early,0,3,,,0.04710110933240599,0.3432429185090816,0.10693409958688106,,0,0.4462778473716073
0,0,52,False,early,0,1,,,0.11367941334504175,0.36952755990527086,0.05296708863159082,,0,0.9211283072850993
0,0,53,False,early,1,7,,,0.0,0.36952755990527086,0.07836847229186553,,0,0.40211717793329954
0,0,54,False,early,0,1,,,0.029681883511988177,0.38034709066159395,0.08191216263357891,,0,0.3606402410682591
0,0,55,False,early,0,1,,,0.06668023481017686,0.4055650478786349,0.10094897291400053,,0,0.31250216755290633
0,0,56,False,early,0,1,,,0.0252699450371474,0.40780667329209075,0.07933665899752479,,0,0.317803344029661
0,0,57,False,early,1,7,,,0.0,0.40780667329209075,0.06782690759177991,,0,0.26377214111564506
