suite,task_id,episode_index,fork_step,candidate,hold_depth,branch_success,one_sided_harm,recovery_steps,correction_l2,minimum_reference_robot_l2,post_hold_state_l2,post_hold_eef_position_l2,post_hold_eef_rotation_l2,post_hold_gripper_l2,fork_state_linf,mean_action_norm,continuous_action_scales
libero_spatial,0,0,16,zero_motion,3,1,0,63,1.1006332467532791,0.027905159274563357,0.05717424079946782,0.025102699187430865,0.051368741564789,2.635433184936779e-05,0.0,0.0,"[1.0,1.0,1.0]"
libero_spatial,0,0,16,same_norm_random,3,0,1,201,1.4834906739830338,0.27039939663673856,0.2088669014983451,0.04698951599933495,0.2035124334705647,0.00023947976243810317,0.0,1.1243039824394168,"[1.0,1.0,1.0]"
libero_spatial,0,0,16,lag2_target,3,1,0,65,0.7224569064333839,0.008666403207587011,0.012793376636923143,0.005763323161384444,0.01142167198899777,9.420001477538827e-07,0.0,1.1243039824394168,"[1.0,1.0,1.0]"
libero_spatial,0,0,16,lag1_harmonic,3,1,0,68,0.6931511763881938,0.017811329903188997,0.02005651785478239,0.009378821970399897,0.017728548388889345,1.3376455360759196e-05,0.0,0.6870746559351991,"[1.0,0.5,0.3333333333333333]"
libero_spatial,0,0,66,current_target_path,1,1,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914425367794352,[1.0]
libero_spatial,0,0,66,lag1_target,1,1,0,17,0.15774984822547244,0.01184134549784862,0.0066827055444521255,0.00102168098646283,0.0066041442546944185,1.376162074668646e-07,0.0,1.0058841096916702,[1.0]
libero_spatial,0,0,66,zero_motion,1,1,0,15,0.914425367794352,0.021923301508570227,0.01823771969877395,0.005325883642683227,0.01744274570421304,2.3524039128569084e-06,0.0,0.0,[1.0]
libero_spatial,0,0,66,same_norm_random,1,1,0,14,1.485663713648847,0.07947988610372804,0.043496446144087764,0.009701192548232002,0.042400798040417395,3.9803758660637345e-06,0.0,1.0058841096916702,[1.0]
libero_spatial,0,0,66,lag2_target,1,1,0,17,0.21118849282796046,0.01230464924646691,0.006817718989909319,0.0010870378277647499,0.006730500676827108,1.2749935202431455e-06,0.0,1.034799514309492,[1.0]
libero_spatial,0,0,66,lag1_harmonic,1,1,0,17,0.15774984822547244,0.01184134549784862,0.0066827055444521255,0.00102168098646283,0.0066041442546944185,1.376162074668646e-07,0.0,1.0058841096916702,[1.0]
libero_spatial,0,0,66,current_target_path,2,1,0,15,0.4386522094173181,0.0,0.0,0.0,0.0,0.0,0.0,0.914425367794352,"[1.0,1.0]"
libero_spatial,0,0,66,lag1_target,2,1,0,15,0.586180584480693,0.02540422863125625,0.018492496957947472,0.0026009530124832306,0.018308672142350296,3.3985993029734934e-06,0.0,1.0058841096916702,"[1.0,1.0]"
libero_spatial,0,0,66,zero_motion,2,1,0,15,0.914425367794352,0.02205729990087035,0.044709263991189435,0.01420346502882025,0.042393075426162934,8.380764051786925e-05,0.0,0.0,"[1.0,1.0]"
libero_spatial,0,0,66,same_norm_random,2,1,0,11,1.3679218687341768,0.15915736857182822,0.11966958596989719,0.02650719397733572,0.11669689134836016,0.00011841994567757403,0.0,1.0058841096916702,"[1.0,1.0]"
libero_spatial,0,0,66,lag2_target,2,1,0,16,0.6489797449877102,0.02590375758048013,0.019072839952379204,0.0032556453856229964,0.0187929239996629,2.1248619321632704e-06,0.0,1.034799514309492,"[1.0,1.0]"
libero_spatial,0,0,66,lag1_harmonic,2,1,0,14,0.35388596950617895,0.02909255701153531,0.02102652731684689,0.003501550781432614,0.02073284299149979,5.6697627597246256e-05,0.0,0.7544130822687527,"[1.0,0.5]"
libero_spatial,0,0,66,current_target_path,3,1,0,14,0.06293450680387642,0.0,0.0,0.0,0.0,0.0,0.0,0.8606555983880734,"[1.0,1.0,1.0]"
libero_spatial,0,0,66,lag1_target,3,1,0,16,0.43427431429409036,0.0411268315961343,0.03375143404579489,0.006085927933597426,0.033198195385965405,2.4585564193810624e-05,0.0,1.0058841096916702,"[1.0,1.0,1.0]"
libero_spatial,0,0,66,zero_motion,3,1,0,16,0.8332038044366387,0.023154052154748347,0.06894949890396963,0.021849521758895554,0.06539594784947396,4.2460392609865405e-05,0.0,0.0,"[1.0,1.0,1.0]"
libero_spatial,0,0,66,same_norm_random,3,0,1,151,1.3316805531030813,0.23869149313463964,0.197295932684735,0.04267398718427402,0.19262529775716378,0.00033246909612756604,0.0,1.0058841096916702,"[1.0,1.0,1.0]"
libero_spatial,0,0,66,lag2_target,3,1,0,16,0.6149055996600884,0.04218666371627275,0.03524189525612651,0.008048848210569776,0.03431043597793572,3.47380335365996e-05,0.0,1.034799514309492,"[1.0,1.0,1.0]"
libero_spatial,0,0,66,lag1_harmonic,3,1,0,14,0.4950471671472401,0.048344111337805834,0.040454851103574524,0.00737980474688981,0.03977603201631661,2.714308611550814e-05,0.0,0.6147069559226873,"[1.0,0.5,0.3333333333333333]"
